Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,coords
1,Bread,43,3/17/2025,110,Grocery Store,South Kellyville,Non-Vegetarian,Breakfast,"(-33.7158272, 150.954993)"
2,Soup,22,3/24/2025,791,Grocery Store,West James,Non-Vegetarian,Dinner,"(5.6970517, -0.8552995)"
3,Fruits,46,3/28/2025,478,Catering Service,Lake Regina,Vegan,Breakfast,"(37.2286012, 140.0580751)"
4,Fruits,15,3/16/2025,930,Restaurant,Kellytown,Vegan,Lunch,"(34.2479254, -80.733972)"
12,Pasta,15,3/28/2025,899,Catering Service,North Steven,Vegetarian,Lunch,"(52.1439395, 7.0565037)"
13,Fruits,33,3/22/2025,115,Grocery Store,Floresville,Vegetarian,Snacks,"(29.1335781, -98.1561192)"
16,Dairy,6,3/26/2025,862,Grocery Store,East Tammy,Vegan,Snacks,"(45.4734849, -75.4973627)"
19,Rice,13,3/30/2025,419,Supermarket,Port Peter,Vegan,Breakfast,"(49.4568142, -2.5389979)"
20,Pasta,41,3/17/2025,306,Catering Service,North Keith,Non-Vegetarian,Snacks,"(48.0933353, -98.7526139)"
23,Salad,43,3/26/2025,1,Supermarket,New Jessica,Vegan,Dinner,"(39.8717053, -74.8639971)"
24,Bread,20,3/30/2025,897,Catering Service,Villastad,Non-Vegetarian,Lunch,"(57.199126, 13.4409919)"
27,Salad,12,3/23/2025,262,Supermarket,New Carol,Vegan,Breakfast,"(42.6975023, -82.7436883)"
28,Chicken,5,3/22/2025,606,Grocery Store,North Nathan,Vegan,Dinner,"(-27.5503222, 153.0555976)"
33,Salad,9,3/27/2025,798,Grocery Store,North Amanda,Vegetarian,Breakfast,"(7.6899082, -1.4771864)"
34,Bread,3,3/30/2025,396,Catering Service,Heatherside,Vegan,Breakfast,"(51.3285332, -0.7073984)"
35,Rice,6,3/23/2025,108,Supermarket,East Austin,Vegan,Breakfast,"(30.2745499, -97.7164851)"
36,Rice,35,3/20/2025,1,Supermarket,New Jessica,Vegan,Breakfast,"(39.8717053, -74.8639971)"
39,Bread,48,3/22/2025,758,Catering Service,Port Patrick,Non-Vegetarian,Breakfast,"(-20.1375476, 169.8301294)"
40,Fruits,12,3/27/2025,965,Restaurant,Port Bryce,Vegetarian,Breakfast,"(29.9188705, -93.9501555)"
42,Rice,50,3/16/2025,179,Supermarket,North Michelle,Vegan,Lunch,"(6.1176905, 125.1657848)"
45,Fish,17,3/24/2025,874,Catering Service,Priceland,Non-Vegetarian,Lunch,"(52.4681614, -1.8539396)"
49,Fish,41,3/17/2025,700,Supermarket,Morriston,Non-Vegetarian,Dinner,"(51.6667495, -3.9243273)"
52,Vegetables,23,3/29/2025,460,Grocery Store,Lake Justin,Non-Vegetarian,Snacks,"(41.677029, -81.3552256)"
56,Vegetables,9,3/23/2025,125,Supermarket,Lake April,Non-Vegetarian,Lunch,"(42.2319052, -87.9687897)"
61,Fruits,33,3/22/2025,243,Catering Service,West Catherine,Vegetarian,Lunch,"(43.709626, -88.9885285)"
62,Rice,21,3/21/2025,520,Catering Service,Port Andre,Non-Vegetarian,Breakfast,"(48.6751856, -2.9100734)"
63,Salad,6,3/20/2025,335,Grocery Store,North Gary,Vegetarian,Dinner,"(41.61033, -87.3912712)"
64,Soup,41,3/26/2025,678,Grocery Store,Lake Travis,Non-Vegetarian,Dinner,"(30.4645913, -98.0783472)"
65,Fruits,45,3/26/2025,602,Grocery Store,North Destiny,Non-Vegetarian,Breakfast,"(49.3080184, -122.970085)"
66,Fish,6,3/22/2025,577,Catering Service,Lake Donna,Non-Vegetarian,Breakfast,"(55.1783763, -162.7084169)"
71,Fish,45,3/19/2025,750,Supermarket,Michaelton,Vegetarian,Lunch,"(39.2109408, -76.6641349)"
72,Dairy,11,3/24/2025,293,Catering Service,Joneshaven,Vegan,Dinner,"(35.5672816, -78.7959659)"
73,Soup,48,3/19/2025,485,Restaurant,East Andrea,Vegan,Breakfast,"(34.234781, -118.4663184)"
79,Rice,25,3/19/2025,100,Catering Service,Mooreview,Vegan,Breakfast,"(36.0166108, -115.0779842)"
93,Salad,49,3/20/2025,264,Catering Service,New Richard,Vegetarian,Lunch,"(-34.6000338, -58.5458835)"
94,Rice,35,3/16/2025,722,Restaurant,Linchester,Vegetarian,Lunch,"(38.7029692, -75.8988761)"
95,Pasta,19,3/24/2025,120,Restaurant,New Lisa,Vegan,Snacks,"(35.1017207, -106.2623364)"
97,Rice,44,3/21/2025,346,Grocery Store,Thomasville,Vegetarian,Dinner,"(35.8831786, -80.081817)"
100,Vegetables,22,3/18/2025,647,Restaurant,West Kara,Vegan,Breakfast,"(48.6956033, 21.2377128)"
106,Rice,31,3/19/2025,253,Catering Service,Sharonton,Vegetarian,Breakfast,"(43.5400238, -79.7027246)"
107,Salad,29,3/25/2025,464,Catering Service,Port Jacob,Vegetarian,Breakfast,"(42.9117442, -79.25847)"
110,Salad,49,3/17/2025,354,Catering Service,South Alicia,Vegan,Dinner,"(33.3759116, -111.6227491)"
114,Vegetables,28,3/27/2025,906,Supermarket,West Kevin,Vegan,Breakfast,"(53.2000721, 6.5104656)"
115,Pasta,8,3/26/2025,963,Supermarket,East Bernard,Vegan,Lunch,"(29.5273003, -96.0647348)"
116,Soup,32,3/23/2025,570,Supermarket,Lake Vanessa,Vegetarian,Lunch,"(30.1633743, -93.2194605)"
118,Dairy,42,3/28/2025,863,Restaurant,Port Michael,Vegan,Lunch,"(39.11022, -94.6049271)"
119,Bread,49,3/28/2025,135,Catering Service,East Candace,Non-Vegetarian,Breakfast,"(36.045248, -94.2393356)"
122,Fruits,7,3/20/2025,846,Supermarket,South Thomasville,Vegan,Snacks,"(33.7018563, -84.3695354)"
125,Rice,21,3/17/2025,982,Grocery Store,Westbury,Vegan,Dinner,"(40.7556561, -73.5876273)"
126,Dairy,27,3/18/2025,54,Supermarket,Lake Rachael,Vegan,Lunch,"(42.4889773, -87.8466273)"
129,Chicken,26,3/21/2025,798,Grocery Store,North Amanda,Vegan,Dinner,"(7.6899082, -1.4771864)"
135,Rice,44,3/23/2025,980,Restaurant,Port Melissa,Vegan,Lunch,"(29.9727035, -93.95587)"
137,Pasta,29,3/19/2025,87,Grocery Store,West Adam,Vegetarian,Snacks,"(48.6959723, 21.2373318)"
144,Bread,18,3/18/2025,810,Catering Service,Lake Jason,Vegan,Lunch,"(28.9398977, -81.9411826)"
153,Fish,20,3/21/2025,737,Restaurant,Port Andrea,Vegetarian,Breakfast,"(35.8886005, 14.5155643)"
155,Fruits,20,3/20/2025,602,Grocery Store,North Destiny,Vegan,Dinner,"(49.3080184, -122.970085)"
158,Bread,22,3/30/2025,687,Catering Service,North James,Vegetarian,Breakfast,"(32.912929, -96.1392585)"
161,Vegetables,32,3/20/2025,414,Supermarket,New Matthew,Non-Vegetarian,Breakfast,"(42.7404504, -78.3231718)"
167,Fish,4,3/20/2025,134,Supermarket,West Melissa,Vegetarian,Lunch,"(38.3800852, -82.3345937)"
168,Salad,26,3/20/2025,306,Catering Service,North Keith,Non-Vegetarian,Lunch,"(48.0933353, -98.7526139)"
169,Fruits,18,3/20/2025,336,Supermarket,East Sandra,Vegan,Snacks,"(53.1477297, -2.3484653)"
174,Chicken,23,3/22/2025,903,Catering Service,Lake Kari,Vegan,Breakfast,"(40.474059, 44.1813993)"
177,Dairy,22,3/22/2025,863,Restaurant,Port Michael,Vegan,Breakfast,"(39.11022, -94.6049271)"
182,Soup,29,3/18/2025,247,Catering Service,Port Aaron,Vegan,Breakfast,"(27.2765454, -80.4082954)"
184,Salad,7,3/29/2025,182,Grocery Store,Port Jeffrey,Vegetarian,Dinner,"(43.1466913, 5.7075518)"
185,Soup,19,3/27/2025,498,Grocery Store,East Craig,Non-Vegetarian,Lunch,"(55.7723582, -4.430123)"
186,Pasta,48,3/17/2025,306,Catering Service,North Keith,Vegetarian,Breakfast,"(48.0933353, -98.7526139)"
